 COND=   15.9946041    
 xstar res   1.73499417    
 quanc8 res   1.05072427    
 ==============================================
 Начальные условия (решение СЛАУ):
 A =   2.00000000     , B =   0.00000000     , C =   1.00000000    
 Параметры системы:
 omega0 =   1.00000000     ,  tau =  0.100000031     , mu =  0.100000001    
 ==============================================
      t            V(t)           V'(t)           z(t)
 ----------------------------------------------------------
  0.10      1.947121     -0.913673      2.837495
  0.20      1.836877     -1.229455      3.291629
  0.30      1.708889     -1.308797      3.176496
  0.40      1.577478     -1.314155      2.853954
  0.50      1.446427     -1.307191      2.475225
  0.60      1.315778     -1.307631      2.098554
  0.70      1.184504     -1.319822      1.744014
  0.80      1.051440     -1.343170      1.417466
  0.90      0.915560     -1.375801      1.120376
  1.00      0.776040     -1.415641      0.853544
  1.10      0.632262     -1.460568      0.618382
  1.20      0.483833     -1.508277      0.417229
  1.30      0.330604     -1.556060      0.253321
  1.40      0.172728     -1.600600      0.130578
  1.50      0.010727     -1.637807      0.053275
  1.60     -0.154426     -1.662771      0.025555
  1.70     -0.321232     -1.669883      0.050764
  1.80     -0.487610     -1.653226      0.130615
  1.90     -0.650899     -1.607258      0.264252
  2.00     -0.807941     -1.527770      0.447361
  2.10     -0.955271     -1.412959      0.671584
  2.20     -1.089401     -1.264302      0.924519
  2.30     -1.207169     -1.086887      1.190500
  2.40     -1.306091     -0.888938      1.452165
  2.50     -1.384609     -0.680564      1.692541
  2.60     -1.442201     -0.472062      1.897127
  2.70     -1.479316     -0.272314      2.055464
  2.80     -1.497172     -0.087712      2.161846
  2.90     -1.497484      0.078189      2.215127
  3.00     -1.482193      0.224392      2.217870
  3.10     -1.453234      0.351809      2.175184
  3.20     -1.412388      0.462530      2.093579
  3.30     -1.361197      0.559184      1.980043
  3.40     -1.300930      0.644481      1.841419
  3.50     -1.232595      0.720928      1.684058
  3.60     -1.156967      0.790695      1.513690
  3.70     -1.074620      0.855557      1.335435
  3.80     -0.985973      0.916892      1.153895
  3.90     -0.891325      0.975696      0.973280
  4.00     -0.790897      1.032592      0.797542
  4.10     -0.684861      1.087838      0.630489
  4.20     -0.573388      1.141304      0.475889
  4.30     -0.456677      1.192447      0.337526
  4.40     -0.335009      1.240265      0.219224
  4.50     -0.208785      1.283258      0.124807
  4.60     -0.078585      1.319397      0.057999
  4.70      0.054782      1.346128      0.022231
  4.80      0.190227      1.360447      0.020363
  4.90      0.326347      1.359071      0.054318
  5.00      0.461407      1.338722      0.124640
  5.10      0.593362      1.296539      0.230062
  5.20      0.719920      1.230573      0.367131
  5.30      0.838662      1.140274      0.530039
  5.40      0.947201      1.026855      0.710743
  5.50      1.043363      0.893402      0.899448
  5.60      1.125369      0.744630      1.085432
  5.70      1.191971      0.586332      1.258090
  5.80      1.242522      0.424612      1.407995
  5.90      1.276969      0.265104      1.527770
  6.00      1.295770      0.112372      1.612598
  6.10      1.299776     -0.030423      1.660328
  6.20      1.290076     -0.161555      1.671222
  6.30      1.267870     -0.280547      1.647470
  6.40      1.234356     -0.387867      1.592622
  6.50      1.190651     -0.484590      1.511037
  6.60      1.137745     -0.572104      1.407449
  6.70      1.076487     -0.651883      1.286653
  6.80      1.007580     -0.725328      1.153318
  6.90      0.931592     -0.793664      1.011898
  7.00      0.848984     -0.857882      0.866622
  7.10      0.760129     -0.918699      0.721515
  7.20      0.665343     -0.976529      0.580455
  7.30      0.564919     -1.031461      0.447216
  7.40      0.459157     -1.083225      0.325521
  7.50      0.348402     -1.131164      0.219042
  7.60      0.233087     -1.174199      0.131391
  7.70      0.113776     -1.210813      0.066043
  7.80     -0.008796     -1.239051      0.026201
  7.90     -0.133678     -1.256574      0.014603
  8.00     -0.259667     -1.260772      0.033246
  8.10     -0.385299     -1.248965      0.083067
  8.20     -0.508846     -1.218693      0.163602
  8.30     -0.628361     -1.168074      0.272681
  8.40     -0.741752     -1.096190      0.406237
  8.50     -0.846901     -1.003407      0.558316
  8.60     -0.941797     -0.891555      0.721334
  8.70     -1.024684     -0.763873      0.886605
  8.80     -1.094189     -0.624707      1.045091
  8.90     -1.149408     -0.479001      1.188235
  9.00     -1.189937     -0.331705      1.308746
  9.10     -1.215844     -0.187219      1.401175
  9.20     -1.227592     -0.049004      1.462209
  9.30     -1.225933      0.080603      1.490660
  9.40     -1.211800      0.200370      1.487220
  9.50     -1.186198      0.310001      1.454066
  9.60     -1.150124      0.409905      1.394422
  9.70     -1.104512      0.500941      1.312151
  9.80     -1.050195      0.584200      1.211431
  9.90     -0.987893      0.660831      1.096523
 10.00     -0.918214      0.731914      0.971632
