x1 = .0125
x2 = .0325
h  = .0002

  X     |    f
.0125   | .9999757
.0127   | .9999750
.0129   | .9999742
.0131   | .9999735
.0133   | .9999727
.0135   | .9999720
.0137   | .9999712
.0139   | .9999703
.0141   | .9999695
.0143   | .9999686
.0145   | .9999679
.0147   | .9999670
.0149   | .9999661
.0151   | .9999653
.0153   | .9999644
.0155   | .9999635
.0157   | .9999626
.0159   | .9999617
.0161   | .9999608
.0163   | .9999599
.0165   | .9999589
.0167   | .9999580
.0169   | .9999571
.0171   | .9999560
.0173   | .9999550
.0175   | .9999541
.0177   | .9999531
.0179   | .9999521
.0181   | .9999511
.0183   | .9999501
.0185   | .9999491
.0187   | .9999480
.0189   | .9999470
.0191   | .9999460
.0193   | .9999449
.0195   | .9999438
.0197   | .9999428
.0199   | .9999417
.0201   | .9999406
.0203   | .9999394
.0205   | .9999384
.0207   | .9999373
.0209   | .9999360
.0211   | .9999350
.0213   | .9999338
.0215   | .9999327
.0217   | .9999315
.0219   | .9999303
.0221   | .9999291
.0223   | .9999279
.0225   | .9999267
.0227   | .9999256
.0229   | .9999244
.0231   | .9999231
.0233   | .9999219
.0235   | .9999207
.0237   | .9999195
.0239   | .9999182
.0241   | .9999169
.0243   | .9999157
.0245   | .9999145
.0247   | .9999131
.0249   | .9999118
.0251   | .9999105
.0253   | .9999092
.0255   | .9999080
.0257   | .9999066
.0259   | .9999053
.0261   | .9999040
.0263   | .9999027
.0265   | .9999013
.0267   | .9998999
.0269   | .9998986
.0271   | .9998972
.0273   | .9998958
.0275   | .9998945
.0277   | .9998931
.0279   | .9998917
.0281   | .9998903
.0283   | .9998889
.0285   | .9998875
.0287   | .9998861
.0289   | .9998847
.0291   | .9998832
.0293   | .9998818
.0295   | .9998804
.0297   | .9998788
.0299   | .9998775
.0301   | .9998760
.0303   | .9998745
.0305   | .9998730
.0307   | .9998716
.0309   | .9998701
.0311   | .9998686
.0313   | .9998671
.0315   | .9998656
.0317   | .9998642
.0319   | .9998626
.0321   | .9998611
.0323   | .9998596
.0325   | .9998580
