t	y
0	0
1	0
2	-0,625
3	-1,20937
4	-1,7547
5	-2,26248
6	-2,73421
7	-3,17129
8	-3,57512
9	-3,94701
10	-4,28826
11	-4,60011
12	-4,88376
13	-5,14039
14	-5,37111
15	-5,57702
16	-5,75916
17	-5,91855
18	-6,05617
19	-6,17298
20	-6,26988
21	-6,34776
22	-6,40749
23	-6,44987
24	-6,47571
25	-6,48579
26	-6,48083
27	-6,46156
28	-6,42866
29	-6,38282
30	-6,32466
31	-6,25481
32	-6,17386
33	-6,0824
34	-5,98098
35	-5,87013
36	-5,75038
37	-5,62221
38	-5,48611
39	-5,34253
40	-5,19193
41	-5,03473
42	-4,87134
43	-4,70215
44	-4,52755
45	-4,3479
46	-4,16356
47	-3,97486
48	-3,78212
49	-3,58566
50	-3,38578
51	-3,18276
52	-2,97689
53	-2,76842
54	-2,55761
55	-2,3447
56	-2,12993
57	-1,91352
58	-1,69568
59	-1,47662
60	-1,25653
61	-1,0356
62	-0,814019
63	-0,591945
64	-0,369545
65	-0,146977
66	0,0756132
67	0,298082
68	0,520294
69	0,742122
70	0,963443
71	1,18414
72	1,4041
73	1,62323
74	1,84141
75	2,05857
76	2,2746
77	2,48942
78	2,70296
79	2,91514
80	3,12588
81	3,33513
82	3,54281
83	3,74887
84	3,95326
85	4,15592
86	4,3568
87	4,55586
88	4,75306
89	4,94836
90	5,14172
91	5,33311
92	5,5225
93	5,70986
94	5,89517
95	6,07841
96	6,25955
97	6,43858
98	6,61548
99	6,79023
100	6,96283
101	7,13326
102	7,30152
103	7,4676
104	7,63149
105	7,79319
106	7,9527
107	8,11002
108	8,26515
109	8,41809
110	8,56884
111	8,7174
112	8,8638
113	9,00802
114	9,15008
115	9,28998
116	9,42774
117	9,56337
118	9,69687
119	9,82827
120	9,95756
121	10,0848
122	10,2099
123	10,333
124	10,454
125	10,573
126	10,69
127	10,805
128	10,9181
129	11,0291
130	11,1383
131	11,2455
132	11,3508
133	11,4542
134	11,5557
135	11,6554
136	11,7533
137	11,8494
138	11,9437
139	12,0362
140	12,1269
141	12,216
142	12,3033
143	12,3889
144	12,4729
145	12,5553
146	12,636
147	12,7151
148	12,7926
149	12,8685
150	12,943
151	13,0159
152	13,0873
153	13,1572
154	13,2256
155	13,2927
156	13,3583
157	13,4225
158	13,4853
159	13,5468
160	13,607
161	13,6658
162	13,7233
163	13,7796
164	13,8346
165	13,8884
166	13,9409
167	13,9923
168	14,0425
169	14,0915
170	14,1394
171	14,1861
172	14,2318
173	14,2763
174	14,3198
175	14,3623
176	14,4037
177	14,4441
178	14,4836
179	14,522
180	14,5595
181	14,596
182	14,6316
183	14,6663
184	14,7001
185	14,733
186	14,7651
187	14,7963
188	14,8267
189	14,8563
190	14,885
191	14,913
192	14,9402
193	14,9667
194	14,9924
195	15,0174
196	15,0417
197	15,0652
198	15,0881
199	15,1103
200	15,1319
201	15,1528
202	15,1731
203	15,1928
204	15,2118
205	15,2303
206	15,2482
207	15,2655
208	15,2822
209	15,2984
210	15,3141
211	15,3292
212	15,3439
213	15,358
214	15,3716
215	15,3848
216	15,3975
217	15,4097
218	15,4215
219	15,4328
220	15,4437
221	15,4542
222	15,4642
223	15,4739
224	15,4832
225	15,4921
226	15,5006
227	15,5087
228	15,5165
229	15,524
230	15,5311
231	15,5378
232	15,5443
233	15,5504
234	15,5562
235	15,5617
236	15,5669
237	15,5718
238	15,5765
239	15,5809
240	15,585
241	15,5888
242	15,5924
243	15,5957
244	15,5988
245	15,6017
246	15,6043
247	15,6067
248	15,6089
249	15,6109
250	15,6127
251	15,6143
252	15,6157
253	15,6169
254	15,6179
255	15,6187
256	15,6194
257	15,6199
258	15,6202
259	15,6204
260	15,6204
261	15,6203
262	15,62
263	15,6196
264	15,619
265	15,6183
266	15,6175
267	15,6166
268	15,6155
269	15,6143
270	15,613
271	15,6116
272	15,6101
273	15,6085
274	15,6068
275	15,6049
276	15,603
277	15,6011
278	15,599
279	15,5968
280	15,5946
281	15,5922
282	15,5899
283	15,5874
284	15,5849
285	15,5823
286	15,5796
287	15,5769
288	15,5741
289	15,5712
290	15,5683
291	15,5654
292	15,5624
293	15,5594
294	15,5563
295	15,5531
296	15,55
297	15,5468
298	15,5435
